cancer,model,seed,cindex
KIRC,Coxnnet,3,0.7851952770208901
KIRC,Coxnnet,4,0.8061712299000434
KIRC,Coxnnet,5,0.7287430683918669
KIRC,Coxnnet,6,0.7147160068846816
KIRC,Coxnnet,7,0.7901709401709401
KIRC,Coxnnet,8,0.799913569576491
KIRC,Coxnnet,9,0.7139673105497771
KIRC,CoxMLP,0,0.702716049382716
KIRC,CoxMLP,1,0.6912238325281803
KIRC,CoxMLP,2,0.7145653876272514
KIRC,CoxMLP,3,0.762488646684832
KIRC,CoxMLP,4,0.7870491090830074
KIRC,CoxMLP,5,0.7324399260628466
KIRC,CoxMLP,6,0.7043889845094664
KIRC,CoxMLP,7,0.7700854700854701
KIRC,CoxMLP,8,0.7605877268798618
KIRC,CoxMLP,9,0.6827637444279346
KIRC,VAECox,0,0.6859259259259259
KIRC,VAECox,1,0.679549114331723
KIRC,VAECox,2,0.6906812842599843
KIRC,VAECox,3,0.7593097184377838
KIRC,VAECox,4,0.7344632768361582
KIRC,VAECox,5,0.7356746765249538
KIRC,VAECox,6,0.7056798623063684
KIRC,VAECox,7,0.7632478632478632
KIRC,VAECox,8,0.7610198789974071
KIRC,VAECox,9,0.7039375928677564
LGG,CoxLasso,0,0.6842105263157895
LGG,CoxLasso,1,0.8548895899053628
LGG,CoxLasso,2,0.8633474576271186
LGG,CoxLasso,3,0.8669275929549902
LGG,CoxLasso,4,0.8553519768563163
LGG,CoxLasso,5,0.7768860353130016
LGG,CoxLasso,6,0.8216867469879519
LGG,CoxLasso,7,0.8282208588957055
LGG,CoxLasso,8,0.7134071340713407
LGG,CoxLasso,9,0.8322981366459627
LGG,CoxRidge,0,0.6850328947368421
LGG,CoxRidge,1,0.8548895899053628
LGG,CoxRidge,2,0.864406779661017
LGG,CoxRidge,3,0.8679060665362035
LGG,CoxRidge,4,0.8572806171648988
LGG,CoxRidge,5,0.7784911717495987
LGG,CoxRidge,6,0.8208835341365461
LGG,CoxRidge,7,0.8282208588957055
LGG,CoxRidge,8,0.7134071340713407
LGG,CoxRidge,9,0.8322981366459627
LGG,Coxnnet,0,0.7327302631578947
LGG,Coxnnet,1,0.8429022082018928
LGG,Coxnnet,2,0.850635593220339
LGG,Coxnnet,3,0.8268101761252447
LGG,Coxnnet,4,0.8273866923818708
LGG,Coxnnet,5,0.790529695024077
LGG,Coxnnet,6,0.8377510040160643
LGG,Coxnnet,7,0.8045574057843996
LGG,Coxnnet,8,0.7589175891758918
LGG,Coxnnet,9,0.8589174800354925
LGG,CoxMLP,0,0.6866776315789473
LGG,CoxMLP,1,0.8466876971608833
LGG,CoxMLP,2,0.8591101694915254
LGG,CoxMLP,3,0.850293542074364
LGG,CoxMLP,4,0.8707810993249759
LGG,CoxMLP,5,0.7961476725521669
LGG,CoxMLP,6,0.8514056224899599
LGG,CoxMLP,7,0.7791411042944786
LGG,CoxMLP,8,0.7773677736777368
LGG,CoxMLP,9,0.8429458740017747
LGG,VAECox,0,0.759046052631579
LGG,VAECox,1,0.7791798107255521
LGG,VAECox,2,0.8622881355932204
LGG,VAECox,3,0.8424657534246576
LGG,VAECox,4,0.8071359691417551
LGG,VAECox,5,0.7897271268057785
LGG,VAECox,6,0.757429718875502
LGG,VAECox,7,0.8080631025416302
LGG,VAECox,8,0.8093480934809348
LGG,VAECox,9,0.7968056787932565
LIHC,CoxLasso,0,0.7108317214700194
LIHC,CoxLasso,1,0.57548032936871
LIHC,CoxLasso,2,0.7583756345177665
LIHC,CoxLasso,3,0.7662753468516542
LIHC,CoxLasso,4,0.7289586305278174
LIHC,CoxLasso,5,0.6842105263157895
LIHC,CoxLasso,6,0.732090284592738
LIHC,CoxLasso,7,0.6755602988260405
LIHC,CoxLasso,8,0.6625659050966608
LIHC,CoxLasso,9,0.6760797342192691
LIHC,CoxRidge,0,0.7108317214700194
